,CH1,CH2,CH3,CH4,,Gate Volteage,Drain Voltage,Drain Current
253,1021,138,9322,2258,,0.079765625,2.15625E-05,0.000141125
254,1152,-260,9984,2025,,0.09,-0.000040625,0.000126563
255,1024,-255,7435,-138,,0.08,-3.98438E-05,-0.000008625
256,1283,-124,9913,-374,,0.100234375,-0.000019375,-0.000023375
257,1406,136,11904,133,,0.10984375,0.00002125,8.3125E-06
258,1151,249,13173,247,,0.089921875,3.89063E-05,1.54375E-05
259,1280,-129,9515,-123,,0.1,-2.01563E-05,-7.6875E-06
260,1149,139,8124,930,,0.089765625,2.17188E-05,0.000058125
261,1151,255,12672,1412,,0.089921875,3.98438E-05,0.00008825
262,1279,-8,10487,1525,,0.099921875,-0.00000125,9.53125E-05
263,1152,-128,10366,630,,0.09,-0.00002,0.000039375
264,1281,-1,11008,516,,0.100078125,-1.5625E-07,0.00003225
265,1537,18,11278,893,,0.120078125,2.8125E-06,5.58125E-05
266,1162,-647,9345,1277,,0.09078125,-0.000101094,7.98125E-05
267,768,125,10744,261,,0.06,1.95313E-05,1.63125E-05
268,896,-384,10636,-266,,0.07,-0.00006,-0.000016625
269,1152,126,13184,-894,,0.09,1.96875E-05,-0.000055875
270,1017,124,13568,276,,0.079453125,0.000019375,0.00001725
271,770,0,13172,504,,0.06015625,0,0.0000315
272,1294,131,10469,136,,0.10109375,2.04688E-05,0.0000085
273,1273,129,10608,779,,0.099453125,2.01563E-05,4.86875E-05
274,900,-254,12704,879,,0.0703125,-3.96875E-05,5.49375E-05
275,1409,257,13444,649,,0.110078125,4.01563E-05,4.05625E-05
276,1272,-12,13052,1521,,0.099375,-0.000001875,9.50625E-05
277,896,-508,12441,-248,,0.07,-0.000079375,-0.0000155
278,894,-387,12019,-128,,0.06984375,-6.04688E-05,-0.000008
279,768,245,15641,-481,,0.06,3.82813E-05,-3.00625E-05
280,1277,128,15245,-1022,,0.099765625,0.00002,-0.000063875
281,1407,-384,12430,99,,0.109921875,-0.00006,6.1875E-06
282,1402,3,10997,1787,,0.10953125,4.6875E-07,0.000111688
283,1027,0,10874,529,,0.080234375,0,3.30625E-05
284,1160,390,11916,1057,,0.090625,6.09375E-05,6.60625E-05
285,1665,123,12821,2180,,0.130078125,1.92188E-05,0.00013625
286,1265,-257,14057,-40,,0.098828125,-4.01563E-05,-0.0000025
287,1154,0,12023,0,,0.09015625,0,0
288,1276,-4,11198,1035,,0.0996875,-0.000000625,6.46875E-05
289,1152,-129,9358,1158,,0.09,-2.01563E-05,0.000072375
290,1405,256,15009,512,,0.109765625,0.00004,0.000032
291,1023,8,14008,501,,0.079921875,0.00000125,3.13125E-05
292,1536,121,11914,134,,0.12,1.89063E-05,0.000008375
293,1037,138,11546,-1173,,0.081015625,2.15625E-05,-7.33125E-05
294,1150,-256,10371,1017,,0.08984375,-0.00004,6.35625E-05
295,1024,0,10988,637,,0.08,0,3.98125E-05
296,1151,-4,11648,1663,,0.089921875,-0.000000625,0.000103938
297,1152,-128,11516,153,,0.09,-0.00002,9.5625E-06
298,1282,260,12673,141,,0.10015625,0.000040625,8.8125E-06
299,1405,386,10890,896,,0.109765625,6.03125E-05,0.000056
300,1405,-134,9983,-292,,0.109765625,-2.09375E-05,-0.00001825
301,767,-256,12394,-652,,0.059921875,-0.00004,-0.00004075
302,1406,-250,14336,906,,0.10984375,-3.90625E-05,0.000056625
303,1158,257,14089,260,,0.09046875,4.01563E-05,0.00001625
304,1022,-255,13698,-258,,0.07984375,-3.98438E-05,-0.000016125
305,1150,121,12953,621,,0.08984375,1.89063E-05,3.88125E-05
306,1034,-128,12679,1904,,0.08078125,-0.00002,0.000119
307,895,244,12670,1975,,0.069921875,0.000038125,0.000123438
308,1023,256,11765,-384,,0.079921875,0.00004,-0.000024
309,1151,-254,9839,896,,0.089921875,-3.96875E-05,0.000056
310,1279,0,12550,-144,,0.099921875,0,-0.000009
311,1025,-128,11398,-1,,0.080078125,-0.00002,-6.25E-08
312,1026,-129,12288,-16,,0.08015625,-2.01563E-05,-0.000001
313,1279,-257,10383,-897,,0.099921875,-4.01563E-05,-5.60625E-05
314,1278,0,11805,263,,0.09984375,0,1.64375E-05
315,1279,-254,14325,888,,0.099921875,-3.96875E-05,0.0000555
316,1408,-256,12819,1407,,0.11,-0.00004,8.79375E-05
317,1403,-521,11666,662,,0.109609375,-8.14063E-05,0.000041375
318,1419,-2,11257,860,,0.110859375,-3.125E-07,0.00005375
319,641,-135,12339,1904,,0.050078125,-2.10938E-05,0.000119
320,1273,256,13569,1290,,0.099453125,0.00004,0.000080625
321,1156,-250,12313,752,,0.0903125,-3.90625E-05,0.000047
322,1280,-253,11391,1280,,0.1,-3.95313E-05,0.00008
323,1152,0,12279,370,,0.09,0,0.000023125
324,1152,-2,13707,1917,,0.09,-3.125E-07,0.000119813
325,1152,0,13699,-252,,0.09,0,-0.00001575
326,1276,128,12767,892,,0.0996875,0.00002,0.00005575
327,895,-1,12160,645,,0.069921875,-1.5625E-07,4.03125E-05
328,1152,-2,13326,641,,0.09,-3.125E-07,4.00625E-05
329,1157,-388,13829,259,,0.090390625,-0.000060625,1.61875E-05
330,766,249,12554,-140,,0.05984375,3.89063E-05,-0.00000875
331,1146,19,11116,1006,,0.08953125,2.96875E-06,0.000062875
332,782,-134,12800,653,,0.06109375,-2.09375E-05,4.08125E-05
333,764,-1,11525,771,,0.0596875,-1.5625E-07,4.81875E-05
334,1024,-273,10739,-266,,0.08,-4.26563E-05,-0.000016625
335,1281,-505,8320,-642,,0.100078125,-7.89063E-05,-0.000040125
336,1153,517,9615,275,,0.090078125,8.07813E-05,1.71875E-05
337,1408,-403,10502,1149,,0.11,-6.29688E-05,7.18125E-05
338,1143,-633,11264,229,,0.089296875,-9.89063E-05,1.43125E-05
339,1024,-245,9979,2,,0.08,-3.82813E-05,0.000000125
340,1024,385,10149,1342,,0.08,6.01563E-05,0.000083875
341,1154,-267,12032,2560,,0.09015625,-4.17188E-05,0.00016
342,1535,-753,10474,1138,,0.119921875,-0.000117656,0.000071125
343,1414,120,8344,904,,0.11046875,0.00001875,0.0000565
344,899,-381,8192,-256,,0.070234375,-5.95313E-05,-0.000016
345,900,-644,9063,513,,0.0703125,-0.000100625,3.20625E-05
346,764,-512,9471,-1157,,0.0596875,-0.00008,-7.23125E-05
347,1276,-262,8830,-640,,0.0996875,-4.09375E-05,-0.00004
348,1014,-6,8971,914,,0.07921875,-9.375E-07,0.000057125
349,768,-640,9472,1542,,0.06,-0.0001,0.000096375
350,1021,-117,9062,1502,,0.079765625,-1.82813E-05,0.000093875
351,902,-130,8316,-261,,0.07046875,-2.03125E-05,-1.63125E-05
352,1667,5,7904,401,,0.130234375,7.8125E-07,2.50625E-05
353,1016,0,7046,517,,0.079375,0,3.23125E-05
354,1028,-127,8715,1022,,0.0803125,-1.98438E-05,0.000063875
355,894,0,8324,381,,0.06984375,0,2.38125E-05
