,,CH1,CH2,CH3,CH4,,GateV,Vf,If
171,-2.66E-06,-1408,11259,11266,-512,,-0.22,1.75921875,-0.00032
172,-2.66E-06,-896,11527,11257,-397,,-0.14,1.80109375,-0.000248125
173,-2.65E-06,-507,11008,11904,128,,-0.07921875,1.72,0.00008
174,-2.65E-06,-895,11653,11520,-900,,-0.13984375,1.82078125,-0.0005625
175,-2.65E-06,-518,11904,11903,-893,,-0.0809375,1.86,-0.000558125
176,-2.65E-06,-631,11902,11385,-127,,-0.09859375,1.8596875,-0.000079375
177,-2.65E-06,-1280,11517,11261,-643,,-0.2,1.79953125,-0.000401875
178,-2.64E-06,-774,11265,12030,-768,,-0.1209375,1.76015625,-0.00048
179,-2.64E-06,-768,11135,11782,-1,,-0.12,1.73984375,-0.000000625
180,-2.64E-06,-641,11264,11520,-642,,-0.10015625,1.76,-0.00040125
181,-2.64E-06,-898,11266,11775,-513,,-0.1403125,1.7603125,-0.000320625
182,-2.64E-06,-895,11776,11262,-895,,-0.13984375,1.84,-0.000559375
183,-2.63E-06,-899,11265,11393,-127,,-0.14046875,1.76015625,-0.000079375
184,-2.63E-06,-893,11519,11520,-639,,-0.13953125,1.79984375,-0.000399375
185,-2.63E-06,-642,11522,11389,-386,,-0.1003125,1.8003125,-0.00024125
186,-2.63E-06,-1018,11520,11775,-763,,-0.1590625,1.8,-0.000476875
187,-2.63E-06,-777,11776,11776,-771,,-0.12140625,1.84,-0.000481875
188,-2.62E-06,-638,11004,12032,-386,,-0.0996875,1.719375,-0.00024125
189,-2.62E-06,-1280,11137,11904,-384,,-0.2,1.74015625,-0.00024
190,-2.62E-06,-898,11264,11902,-639,,-0.1403125,1.76,-0.000399375
191,-2.62E-06,-896,11647,11521,-766,,-0.14,1.81984375,-0.00047875
192,-2.62E-06,-891,11397,11513,-1150,,-0.13921875,1.78078125,-0.00071875
193,-2.61E-06,-1151,11265,12032,-773,,-0.17984375,1.76015625,-0.000483125
194,-2.61E-06,-638,11009,11264,0,,-0.0996875,1.72015625,0
195,-2.61E-06,-902,11656,11779,-640,,-0.1409375,1.82125,-0.0004
196,-2.61E-06,-1023,12030,11777,-382,,-0.15984375,1.8796875,-0.00023875
197,-2.61E-06,-765,11264,12160,1,,-0.11953125,1.76,0.000000625
198,-2.60E-06,-640,11259,12039,-126,,-0.1,1.75921875,-0.00007875
199,-2.60E-06,-1018,11775,11521,-640,,-0.1590625,1.83984375,-0.0004
200,-2.60E-06,-1026,11390,11648,-510,,-0.1603125,1.7796875,-0.00031875
201,-2.60E-06,-1023,11390,11776,0,,-0.15984375,1.7796875,0
202,-2.60E-06,-1152,11008,11651,-510,,-0.18,1.72,-0.00031875
203,-2.59E-06,-899,11394,11773,255,,-0.14046875,1.7803125,0.000159375
204,-2.59E-06,-512,11520,10880,-642,,-0.08,1.8,-0.00040125
205,-2.59E-06,-886,11519,11510,-134,,-0.1384375,1.79984375,-0.00008375
206,-2.59E-06,-1153,11521,11648,-384,,-0.18015625,1.80015625,-0.00024
207,-2.59E-06,-888,11264,11520,-512,,-0.13875,1.76,-0.00032
208,-2.58E-06,-383,11521,11776,-1029,,-0.05984375,1.80015625,-0.000643125
209,-2.58E-06,-644,11518,11516,-1019,,-0.100625,1.7996875,-0.000636875
210,-2.58E-06,-640,11008,11521,-255,,-0.1,1.72,-0.000159375
211,-2.58E-06,-762,11263,11648,-769,,-0.1190625,1.75984375,-0.000480625
212,-2.58E-06,-384,11143,11774,-9,,-0.06,1.74109375,-0.000005625
213,-2.57E-06,-1404,11008,12032,-384,,-0.219375,1.72,-0.00024
214,-2.57E-06,-643,11269,11520,-898,,-0.10046875,1.76078125,-0.00056125
215,-2.57E-06,-767,11391,11648,-760,,-0.11984375,1.77984375,-0.000475
216,-2.57E-06,-1025,11262,11646,-254,,-0.16015625,1.7596875,-0.00015875
217,-2.57E-06,-642,11265,11520,-514,,-0.1003125,1.76015625,-0.00032125
218,-2.56E-06,-892,11518,11648,-766,,-0.139375,1.7996875,-0.00047875
219,-2.56E-06,-897,11264,12288,-1024,,-0.14015625,1.76,-0.00064
220,-2.56E-06,-1025,10753,11644,-503,,-0.16015625,1.68015625,-0.000314375
221,-2.56E-06,-893,11524,11776,-129,,-0.13953125,1.800625,-0.000080625
222,-2.56E-06,-764,11519,11519,-386,,-0.119375,1.79984375,-0.00024125
223,-2.55E-06,-641,11647,11777,-384,,-0.10015625,1.81984375,-0.00024
224,-2.55E-06,-768,11262,11776,-770,,-0.12,1.7596875,-0.00048125
225,-2.55E-06,-902,11264,11266,-894,,-0.1409375,1.76,-0.00055875
226,-2.55E-06,-1285,11136,11648,-896,,-0.20078125,1.74,-0.00056
227,-2.55E-06,-640,11392,12160,-510,,-0.1,1.78,-0.00031875
228,-2.54E-06,-1408,11392,12401,-386,,-0.22,1.78,-0.00024125
229,-2.54E-06,-1024,11649,11394,-641,,-0.16,1.82015625,-0.000400625
230,-2.54E-06,-764,11775,12288,-640,,-0.119375,1.83984375,-0.0004
231,-2.54E-06,-1413,11391,11393,-510,,-0.22078125,1.77984375,-0.00031875
232,-2.54E-06,-640,11776,12031,-769,,-0.1,1.84,-0.000480625
233,-2.53E-06,-771,11389,11517,-254,,-0.12046875,1.77953125,-0.00015875
234,-2.53E-06,-638,11135,11392,-384,,-0.0996875,1.73984375,-0.00024
235,-2.53E-06,-645,11266,11651,-253,,-0.10078125,1.7603125,-0.000158125
236,-2.53E-06,-894,11521,12158,-128,,-0.1396875,1.80015625,-0.00008
237,-2.53E-06,-508,11520,11264,-387,,-0.079375,1.8,-0.000241875
238,-2.52E-06,-768,10756,11389,-769,,-0.12,1.680625,-0.000480625
239,-2.52E-06,-1409,11008,11648,-126,,-0.22015625,1.72,-0.00007875
240,-2.52E-06,-771,11136,11774,-516,,-0.12046875,1.74,-0.0003225
241,-2.52E-06,-640,11392,11648,-385,,-0.1,1.78,-0.000240625
242,-2.52E-06,-896,11392,11776,-638,,-0.14,1.78,-0.00039875
243,-2.51E-06,-896,11390,11649,-256,,-0.14,1.7796875,-0.00016
244,-2.51E-06,-897,11008,12161,-640,,-0.14015625,1.72,-0.0004
245,-2.51E-06,-767,11387,11267,-382,,-0.11984375,1.77921875,-0.00023875
246,-2.51E-06,-1025,11390,11391,-1152,,-0.16015625,1.7796875,-0.00072
247,-2.51E-06,-761,10876,11010,-512,,-0.11890625,1.699375,-0.00032
248,-2.50E-06,-650,11142,12035,3,,-0.1015625,1.7409375,0.000001875
249,-2.50E-06,-1154,11778,11642,254,,-0.1803125,1.8403125,0.00015875
250,-2.50E-06,-761,11644,11778,-513,,-0.11890625,1.819375,-0.000320625
251,-2.50E-06,-769,10880,11651,-767,,-0.12015625,1.7,-0.000479375
252,-2.50E-06,-899,11391,11391,-896,,-0.14046875,1.77984375,-0.00056
253,-2.49E-06,-638,11132,11778,-896,,-0.0996875,1.739375,-0.00056
254,-2.49E-06,-1025,11267,11902,3,,-0.16015625,1.76046875,0.000001875
255,-2.49E-06,-513,11396,11647,-133,,-0.08015625,1.780625,-0.000083125
256,-2.49E-06,-767,11647,11648,-258,,-0.11984375,1.81984375,-0.00016125
257,-2.49E-06,-895,11520,11648,-513,,-0.13984375,1.8,-0.000320625
258,-2.48E-06,-900,11775,11902,-510,,-0.140625,1.83984375,-0.00031875
259,-2.48E-06,-640,11261,12031,125,,-0.1,1.75953125,0.000078125
260,-2.48E-06,-905,11008,11646,-642,,-0.14140625,1.72,-0.00040125
261,-2.48E-06,-1019,11272,11648,-125,,-0.15921875,1.76125,-0.000078125
262,-2.48E-06,-632,11647,11520,-770,,-0.09875,1.81984375,-0.00048125
263,-2.47E-06,-776,11136,11648,-510,,-0.12125,1.74,-0.00031875
264,-2.47E-06,-1019,11775,11520,-896,,-0.15921875,1.83984375,-0.00056
265,-2.47E-06,-389,11392,11648,-1031,,-0.06078125,1.78,-0.000644375
266,-2.47E-06,-764,11390,11520,0,,-0.119375,1.7796875,0
267,-2.47E-06,-898,11007,11776,-385,,-0.1403125,1.71984375,-0.000240625
268,-2.46E-06,-896,11137,11513,-256,,-0.14,1.74015625,-0.00016
269,-2.46E-06,-1025,11391,11265,-384,,-0.16015625,1.77984375,-0.00024
270,-2.46E-06,-769,11008,11776,-128,,-0.12015625,1.72,-0.00008
271,-2.46E-06,-898,11251,11520,125,,-0.1403125,1.75796875,0.000078125
272,-2.46E-06,-769,11776,11646,0,,-0.12015625,1.84,0
273,-2.45E-06,-1025,11128,12037,-774,,-0.16015625,1.73875,-0.00048375
274,-2.45E-06,-764,11268,12282,-1150,,-0.119375,1.760625,-0.00071875
275,-2.45E-06,-767,11262,11519,-629,,-0.11984375,1.7596875,-0.000393125
276,-2.45E-06,-775,11007,12031,-263,,-0.12109375,1.71984375,-0.000164375
277,-2.45E-06,-1280,11008,11263,-892,,-0.2,1.72,-0.0005575
278,-2.44E-06,-637,11259,11776,0,,-0.09953125,1.75921875,0
279,-2.44E-06,-377,11520,11265,-1289,,-0.05890625,1.8,-0.000805625
280,-2.44E-06,-1023,11390,11519,-886,,-0.15984375,1.7796875,-0.00055375
281,-2.44E-06,-641,11135,11137,-505,,-0.10015625,1.73984375,-0.000315625
282,-2.44E-06,-897,11138,11904,-258,,-0.14015625,1.7403125,-0.00016125
283,-2.43E-06,-769,11136,11264,-513,,-0.12015625,1.74,-0.000320625
284,-2.43E-06,-639,10751,11769,-384,,-0.09984375,1.67984375,-0.00024
285,-2.43E-06,-638,11392,11776,-512,,-0.0996875,1.78,-0.00032
286,-2.43E-06,-131,11389,11648,-384,,-0.02046875,1.77953125,-0.00024
287,-2.43E-06,-1044,11263,11906,-510,,-0.163125,1.75984375,-0.00031875
288,-2.42E-06,-1014,11135,11773,-129,,-0.1584375,1.73984375,-0.000080625
289,-2.42E-06,-768,11136,11519,-645,,-0.12,1.74,-0.000403125
290,-2.42E-06,-636,11264,11649,-1280,,-0.099375,1.76,-0.0008
291,-2.42E-06,-514,11128,11778,-515,,-0.0803125,1.73875,-0.000321875
292,-2.42E-06,-1016,11776,11135,-640,,-0.15875,1.84,-0.0004
293,-2.41E-06,-903,11258,11906,-125,,-0.14109375,1.7590625,-0.000078125
294,-2.41E-06,-639,11139,11648,-384,,-0.09984375,1.74046875,-0.00024
295,-2.41E-06,-1148,11392,11776,-769,,-0.179375,1.78,-0.000480625
296,-2.41E-06,-1282,11264,11776,-899,,-0.2003125,1.76,-0.000561875
297,-2.41E-06,-1031,11003,11648,-1024,,-0.16109375,1.71921875,-0.00064
298,-2.40E-06,-768,11525,11645,-142,,-0.12,1.80078125,-0.00008875
299,-2.40E-06,-896,10627,11777,-376,,-0.14,1.66046875,-0.000235
300,-2.40E-06,-768,11383,11648,-896,,-0.12,1.77859375,-0.00056
301,-2.40E-06,-770,11648,12031,-386,,-0.1203125,1.82,-0.00024125
302,-2.40E-06,-898,11392,11908,-511,,-0.1403125,1.78,-0.000319375
303,-2.39E-06,-764,11770,11394,-509,,-0.119375,1.8390625,-0.000318125
304,-2.39E-06,-384,11797,11387,-781,,-0.06,1.84328125,-0.000488125
305,-2.39E-06,-762,10879,11520,-125,,-0.1190625,1.69984375,-0.000078125
306,-2.39E-06,-764,11392,11520,-896,,-0.119375,1.78,-0.00056
307,-2.39E-06,-902,10752,11904,-129,,-0.1409375,1.68,-0.000080625
308,-2.38E-06,-384,11006,11904,-641,,-0.06,1.7196875,-0.000400625
309,-2.38E-06,-1014,11137,11903,127,,-0.1584375,1.74015625,0.000079375
310,-2.38E-06,-909,11261,12030,-748,,-0.14203125,1.75953125,-0.0004675
311,-2.38E-06,-756,11518,11909,-784,,-0.118125,1.7996875,-0.00049
312,-2.38E-06,-1023,11392,11522,-384,,-0.15984375,1.78,-0.00024
313,-2.37E-06,-512,11389,11392,-385,,-0.08,1.77953125,-0.000240625
314,-2.37E-06,-1032,11138,12032,-256,,-0.16125,1.7403125,-0.00016
315,-2.37E-06,-890,11650,11647,-640,,-0.1390625,1.8203125,-0.0004
316,-2.37E-06,-511,11264,11776,-128,,-0.07984375,1.76,-0.00008
317,-2.37E-06,-639,11141,11909,-379,,-0.09984375,1.74078125,-0.000236875
318,-2.36E-06,-897,10626,11264,-767,,-0.14015625,1.6603125,-0.000479375
319,-2.36E-06,-893,11008,11904,-640,,-0.13953125,1.72,-0.0004
320,-2.36E-06,-1154,11520,11773,-254,,-0.1803125,1.8,-0.00015875
321,-2.36E-06,-513,11007,11137,-132,,-0.08015625,1.71984375,-0.0000825
322,-2.36E-06,-891,11264,12160,-771,,-0.13921875,1.76,-0.000481875
323,-2.35E-06,-902,10495,11782,-771,,-0.1409375,1.63984375,-0.000481875
324,-2.35E-06,-512,11384,11649,-643,,-0.08,1.77875,-0.000401875
325,-2.35E-06,-898,11136,11649,-513,,-0.1403125,1.74,-0.000320625
326,-2.35E-06,-897,11136,12032,-385,,-0.14015625,1.74,-0.000240625
327,-2.35E-06,-1015,11264,11134,-514,,-0.15859375,1.76,-0.00032125
328,-2.34E-06,-648,11264,11778,-896,,-0.10125,1.76,-0.00056
329,-2.34E-06,-1409,11008,11648,-642,,-0.22015625,1.72,-0.00040125
330,-2.34E-06,-509,11131,11263,-642,,-0.07953125,1.73921875,-0.00040125
331,-2.34E-06,-625,11392,11899,-390,,-0.09765625,1.78,-0.00024375
332,-2.34E-06,-770,11136,11902,-251,,-0.1203125,1.74,-0.000156875
